sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;command;
1589347314;65338;1589347314;65353;1589347314;65338;2;
1589347314;72192;1589347314;72208;1589347314;72192;0;
1589347314;79298;1589347314;79313;1589347314;79298;0;
1589347314;85926;1589347314;85941;1589347314;85926;0;
1589347314;92906;1589347314;92921;1589347314;92906;0;
1589347314;98996;1589347314;99010;1589347314;98996;6;
1589347314;105532;1589347314;105548;1589347314;105532;0;
1589347314;112692;1589347314;112707;1589347314;112692;0;
1589347314;119022;1589347314;119038;1589347314;119022;0;
1589347314;126112;1589347314;126127;1589347314;126112;5;
1589347314;132785;1589347314;132801;1589347314;132785;0;
1589347314;139245;1589347314;139260;1589347314;139245;0;
1589347314;145366;1589347314;145382;1589347314;145366;0;
1589347314;152783;1589347314;152798;1589347314;152783;4;
1589347314;159026;1589347314;159041;1589347314;159026;0;
1589347314;165390;1589347314;165406;1589347314;165390;0;
1589347314;172966;1589347314;172981;1589347314;172966;0;
1589347314;179062;1589347314;179077;1589347314;179062;4;
1589347314;185397;1589347314;185412;1589347314;185397;0;
1589347314;191989;1589347314;192005;1589347314;191989;0;
1589347314;198086;1589347314;198102;1589347314;198086;0;
1589347314;205145;1589347314;205160;1589347314;205145;4;
1589347314;211721;1589347314;211736;1589347314;211721;0;
1589347314;218925;1589347314;218941;1589347314;218925;0;
1589347314;225489;1589347314;225505;1589347314;225489;0;
1589347314;233135;1589347314;233151;1589347314;233135;4;
1589347314;240290;1589347314;240307;1589347314;240290;0;
1589347314;248118;1589347314;248134;1589347314;248118;0;
1589347314;254695;1589347314;254710;1589347314;254695;0;
1589347314;261021;1589347314;261036;1589347314;261021;4;
1589347314;267895;1589347314;267911;1589347314;267895;0;
1589347314;274674;1589347314;274691;1589347314;274674;0;
1589347314;281079;1589347314;281095;1589347314;281079;0;
1589347314;287898;1589347314;287913;1589347314;287898;4;
1589347314;294223;1589347314;294238;1589347314;294223;0;
1589347314;300760;1589347314;300775;1589347314;300760;0;
1589347314;307134;1589347314;307149;1589347314;307134;0;
1589347314;317186;1589347314;317202;1589347314;317186;4;
1589347314;323722;1589347314;323737;1589347314;323722;0;
1589347314;329825;1589347314;329839;1589347314;329825;0;
1589347314;336429;1589347314;336461;1589347314;336429;0;
1589347314;342530;1589347314;342546;1589347314;342530;4;
1589347314;348910;1589347314;348926;1589347314;348910;0;
1589347314;356425;1589347314;356441;1589347314;356425;0;
1589347314;363033;1589347314;363049;1589347314;363033;0;
1589347314;369619;1589347314;369635;1589347314;369619;4;
1589347314;375732;1589347314;375748;1589347314;375732;0;
1589347314;382801;1589347314;382817;1589347314;382801;0;
1589347314;389616;1589347314;389632;1589347314;389616;0;
1589347314;395804;1589347314;395819;1589347314;395804;4;
1589347314;403289;1589347314;403305;1589347314;403289;0;
1589347314;409385;1589347314;409401;1589347314;409385;0;
1589347314;415798;1589347314;415815;1589347314;415798;0;
1589347314;422577;1589347314;422592;1589347314;422577;4;
1589347314;429388;1589347314;429403;1589347314;429388;0;
1589347314;436405;1589347314;436420;1589347314;436405;0;
