sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;time;grassMax;grassMean;
1589347313;262836;1589347313;262849;1589347313;262836;297;1;0.9714587;
1589347313;269255;1589347313;269267;1589347313;269255;298;1;0.9714601;
1589347313;275527;1589347313;275540;1589347313;275527;299;1;0.9714615;
1589347313;282390;1589347313;282402;1589347313;282390;300;1;0.9714629;
1589347313;289386;1589347313;289398;1589347313;289386;301;1;0.9714643;
1589347313;296204;1589347313;296217;1589347313;296204;302;1;0.9714657;
1589347313;303833;1589347313;303845;1589347313;303833;303;1;0.9714671;
1589347313;310679;1589347313;310691;1589347313;310679;304;1;0.9714685;
1589347313;317069;1589347313;317081;1589347313;317069;305;1;0.9714699;
1589347313;323377;1589347313;323390;1589347313;323377;306;1;0.9714713;
1589347313;329723;1589347313;329735;1589347313;329723;307;1;0.9714727;
1589347313;336043;1589347313;336056;1589347313;336043;308;1;0.9714741;
1589347313;342288;1589347313;342301;1589347313;342288;309;1;0.9714755;
1589347313;348711;1589347313;348723;1589347313;348711;310;1;0.9714769;
1589347313;355194;1589347313;355209;1589347313;355194;311;1;0.9714783;
1589347313;362826;1589347313;362839;1589347313;362826;312;1;0.9714797;
1589347313;369190;1589347313;369202;1589347313;369190;313;1;0.9714811;
1589347313;375493;1589347313;375505;1589347313;375493;314;1;0.9714826;
1589347313;381841;1589347313;381853;1589347313;381841;315;1;0.9714839;
1589347313;388190;1589347313;388202;1589347313;388190;316;1;0.9714853;
1589347313;394930;1589347313;394942;1589347313;394930;317;1;0.9714867;
1589347313;401549;1589347313;401562;1589347313;401549;318;1;0.9714881;
1589347313;407775;1589347313;407788;1589347313;407775;319;1;0.9714895;
1589347313;414552;1589347313;414564;1589347313;414552;320;1;0.971491;
1589347313;420936;1589347313;420949;1589347313;420936;321;1;0.9714923;
1589347313;427293;1589347313;427306;1589347313;427293;322;1;0.9714937;
